gene
CDK4
CDK6
CDKN2A
CYP17A1
SRD5A1
SRD5A2
SRD5A3
AR
ERBB2
ERBB4
EGFR
BTK
KRAS
CXCL8
WEE1
KDR
FLT1
AKT2
AKT3
AKT1
ALK
EML4
RET
CD52
AURKA
PIK3CA
TEK
NTRK1
NTRK2
NTRK3
MET
MSLN
PIK3CD
CSF1R
AURKB
AURKC
CYP19A1
MTOR
PIK3R1
PIK3CB
PIK3CG
PIK3R2
PIK3R5
PIK3R3
F10
TACR1
APEX1
TXNRD1
RARA
ABL1
BCR
CD274
SLC6A2
HMGCR
KIT
PDGFRA
FLT4
PIM1
PIM2
PIM3
JAK2
FGFR3
FGFR1
FGFR4
FGFR2
CHEK1
PTEN
MAP2K1
MAP2K2
TTK
HDAC1
HDAC3
HDAC6
HDAC2
HDAC5
HDAC7
HDAC8
HDAC11
HDAC4
HDAC9
HDAC10
RAF1
BRAF
ARAF
IL1A
VEGFA
NRAS
BIRC3
BIRC2
CCR2
CCR5
SMO
PSMD1
PSMB2
PSMB1
PSMB5
PSMB8
PSMB9
PSMB6
PSMD14
PSMA1
PSMA2
PSMA3
PSMA4
PSMA5
PSMA6
PSMA7
PSMA8
PSMB10
PSMB11
PSMB3
PSMB4
PSMB7
ADRM1
PSMC2
PSMC1
PSMC4
PSMC6
PSMC3
PSMC5
PSMD2
PSMD3
PSMD12
PSMD11
PSMD6
PSMD7
PSMD13
PSMD4
PSMD8
SEM1
HCK
LYN
SRC
MDM2
NOTCH1
PDCD1
ROS1
CTLA4
CCL2
ENG
ADRB1
ADRB2
ADRB3
ADRA1A
ADRA1D
ADRA1B
PDGFRB
CD3E
CD3G
CD3D
EPCAM
PTGS2
CDK12
ATR
SF3B1
SRSF2
U2AF1
ZRSR2
NPM1
PLK4
IGF1R
FLT3
CYP3A4
CYP3A5
CYP3A43
CYP3A7
NF1
CD70
CD38
BLK
EPHA2
FGR
FRK
FYN
LCK
SRMS
YES1
PTK2B
PTK2
HTR3A
TIGIT
ACHE
IGF2
IGF1
ESR1
IRAK4
DHODH
IDH2
DLL4
SYK
PRKCB
CD22
SLC6A4
ITGB3
ITGAV
FKBP1A
TSC1
TSC2
TNC
LAG3
PNP
ESR2
DPP4
AXL
MST1R
IDH1
ADORA2A
PDGFB
CD19
KIF11
JAK1
FN1
MSTN
PPP2CB
PPP5C
PPP2CA
CRBN
DDB1
CUL4A
RBX1
IDO1
KIR2DL3
KIR2DL1
CCNE1
FBXW7
PPP2R1A
GSK3A
GSK3B
RPS6KB1
CD47
GRIN1
GRIN2A
GRIN2B
GRIN2D
GRIN3B
GRIN2C
GRIN3A
GPD2
MT-ND6
NDUFA10
NDUFS8
MT-ND4L
NDUFA6
MT-ND1
NDUFB6
NDUFA4
NDUFA11
NDUFB7
MT-ND2
NDUFS2
MT-ND5
NDUFA8
NDUFB5
MT-ND4
MT-ND3
NDUFAB1
NDUFA1
NDUFS4
NDUFB3
NDUFC1
NDUFA2
NDUFS5
NDUFS7
NDUFS6
NDUFB1
NDUFS3
NDUFA3
NDUFB4
NDUFB8
NDUFB2
NDUFA7
NDUFC2
NDUFB10
NDUFV2
NDUFS1
NDUFV1
NDUFV3
NDUFA5
NDUFA9
NDUFAF2
NDUFAF3
NDUFA4L2
NDUFB11
NDUFAF4
NDUFA13
NDUFA12
NDUFAF1
NDUFB9
ERBB3
KLRC1
IMPDH1
IMPDH2
BCL2L1
BCL2L2-PABPN1
BCL2L2
BCL2
TP53
PARP2
PARP1
BRCA1
BRCA2
MS4A1
PARP3
ATM
BARD1
BRIP1
CHEK2
FANCL
PALB2
RAD51B
RAD51C
RAD51D
RAD54L
NT5E
PCSK9
CCND1
EGFL7
ITK
PDE10A
CSF1
ADA
UBA3
NAE1
CCDC6
KIF5B
ATP4A
ATP4B
MAPK14
HTR3E
HTR3B
HTR3D
HTR3C
DDR2
MAPK11
CD74
SDC4
HSP90AA1
HSP90AB1
KMT2A
MEN1
PDE4A
PDE4D
PDE4B
PDE4C
HAVCR2
XPO1
NRG1
CD2
PTCH1
PDE5A
FANCA
MLH1
MRE11
NBN
EZH2
ARID1A
KDM6A
SMARCB1
TNFRSF17
MAPK3
MAPK1
EPHB4
IL12B
IL23A
FNTA
FNTB
HRAS
MKNK2
MKNK1
COL4A4
RARB
RARG
EPHA1
EPHA10
EPHA3
EPHA4
EPHA5
EPHA6
EPHA7
EPHA8
EPHB1
EPHB2
EPHB3
EPHB6
PTK6
NRP1
EDNRA
